Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare
no,c,Mr.,male,,0,0,7.8958
no,c,Mrs.,female,32,1,1,15.5
no,b,Mr.,male,23,0,0,13
no,a,Mr.,male,58,0,2,113.275
yes,a,noble,male,50,2,0,133.65
no,c,Mr.,male,40,0,0,7.225
no,a,Mr.,male,47,0,0,25.5875
no,c,Mr.,male,36,0,0,7.4958
yes,c,Mr.,male,20,1,0,7.925
no,b,Mr.,male,32,2,0,73.5
no,b,Mr.,male,25,0,0,13
no,c,Mr.,male,,0,0,7.775
no,c,Mr.,male,43,0,0,8.05
yes,a,Mrs.,female,,1,0,52
yes,b,Mrs.,female,40,1,1,39
no,a,Mr.,male,31,1,0,52
no,b,Mr.,male,70,0,0,10.5
yes,b,Mr.,male,31,0,0,13
no,b,Mr.,male,,0,0,0
no,c,Mr.,male,18,0,0,7.775
no,c,Mr.,male,24.5,0,0,8.05
yes,c,Miss.,female,18,0,0,9.8417
no,c,Mrs.,female,43,1,6,46.9
yes,a,Mr.,male,36,0,1,512.3292
no,c,Miss.,female,,0,0,8.1375
yes,a,Mr.,male,27,0,0,76.7292
no,c,Mr.,male,20,0,0,9.225
no,c,Mr.,male,14,5,2,46.9
no,b,Mr.,male,60,1,1,39
no,b,Mr.,male,25,1,2,41.5792
no,c,Mr.,male,14,4,1,39.6875
no,c,Mr.,male,19,0,0,10.1708
no,c,Mr.,male,18,0,0,7.7958
yes,a,Miss.,female,15,0,1,211.3375
yes,a,Mr.,male,31,1,0,57
yes,c,Miss.,female,4,0,1,13.4167
yes,c,Mr.,male,,0,0,56.4958
no,c,Mr.,male,25,0,0,7.225
no,a,noble,male,60,0,0,26.55
no,b,Mr.,male,52,0,0,13.5
no,c,Mr.,male,44,0,0,8.05
yes,c,Miss.,female,,0,0,7.7333
no,a,Mr.,male,49,1,1,110.8833
no,c,Mr.,male,42,0,0,7.65
yes,a,Mrs.,female,18,1,0,227.525
yes,a,Mr.,male,35,0,0,26.2875
no,c,Miss.,female,18,0,1,14.4542
no,c,Mr.,male,25,0,0,7.7417
no,c,Mr.,male,26,1,0,7.8542
no,b,Mr.,male,39,0,0,26
yes,b,Mrs.,female,45,0,0,13.5
yes,a,Mr.,male,42,0,0,26.2875
yes,a,Miss.,female,22,0,0,151.55
yes,c,Master,male,,1,1,15.2458
yes,a,noble,female,24,0,0,49.5042
no,a,Mr.,male,,0,0,26.55
yes,a,Mr.,male,48,1,0,52
no,c,Mr.,male,29,0,0,9.4833
no,b,Mr.,male,52,0,0,13
no,c,Mr.,male,19,0,0,7.65
yes,a,Miss.,female,38,0,0,227.525
yes,b,Miss.,female,27,0,0,10.5
no,c,Mr.,male,,0,0,15.5
no,c,Mr.,male,33,0,0,7.775
yes,b,Miss.,female,6,0,1,33
no,c,Mr.,male,17,1,0,7.0542
no,b,Mr.,male,34,0,0,13
no,b,Mr.,male,50,0,0,13
yes,a,Mr.,male,27,1,0,53.1
no,c,Mr.,male,20,0,0,8.6625
yes,b,Mrs.,female,30,3,0,21
yes,c,Miss.,female,,0,0,7.7375
no,b,Mr.,male,25,1,0,26
no,c,Miss.,female,25,1,0,7.925
yes,a,Miss.,female,29,0,0,211.3375
no,c,Mr.,male,11,0,0,18.7875
no,b,Mr.,male,,0,0,0
no,b,Mr.,male,23,0,0,13
no,b,Mr.,male,23,0,0,13
no,c,Mr.,male,28.5,0,0,16.1
no,c,Mrs.,female,48,1,3,34.375
yes,a,Mr.,male,35,0,0,512.3292
no,c,Mr.,male,,0,0,7.8958
no,c,Mr.,male,,0,0,7.8958
yes,a,Mr.,male,,0,0,30
no,a,Mr.,male,36,1,0,78.85
yes,a,Miss.,female,21,2,2,262.375
no,c,Mr.,male,24,1,0,16.1
yes,c,Mr.,male,31,0,0,7.925
no,a,noble,male,70,1,1,71
no,c,Mr.,male,16,1,1,20.25
yes,b,Miss.,female,30,0,0,13
no,a,Mr.,male,19,1,0,53.1
no,c,Mr.,male,31,0,0,7.75
yes,b,Miss.,female,4,1,1,23
yes,c,Master,male,6,0,1,12.475
no,c,Mr.,male,33,0,0,9.5
no,c,Mr.,male,23,0,0,7.8958
yes,b,Mrs.,female,48,1,2,65
yes,b,Master,male,0.67,1,1,14.5
no,c,Mr.,male,28,0,0,7.7958
no,b,Mr.,male,18,0,0,11.5
no,c,Mr.,male,34,0,0,8.05
yes,a,noble,female,33,0,0,86.5
no,c,Mr.,male,,0,0,14.5
no,c,Mr.,male,41,0,0,7.125
yes,c,Mr.,male,20,0,0,7.2292
yes,a,Mrs.,female,36,1,2,120
no,c,Mr.,male,16,0,0,7.775
yes,a,Mrs.,female,51,1,0,77.9583
no,a,noble,male,,0,0,39.6
no,c,Miss.,female,30.5,0,0,7.75
no,c,Mr.,male,,1,0,24.15
no,c,Mr.,male,32,0,0,8.3625
no,c,Mr.,male,24,0,0,9.5
no,c,Mr.,male,48,0,0,7.8542
no,b,Mrs.,female,57,0,0,10.5
no,c,Mr.,male,,0,0,7.225
yes,b,Mrs.,female,54,1,3,23
no,c,Mr.,male,18,0,0,7.75
no,c,Mr.,male,,0,0,7.75
yes,c,Miss.,female,5,0,0,12.475
no,c,Mr.,male,,0,0,7.7375
yes,a,Mrs.,female,43,0,1,211.3375
yes,c,Miss.,female,13,0,0,7.2292
yes,a,Mrs.,female,17,1,0,57
no,a,Mr.,male,29,0,0,30
no,c,Mr.,male,,1,2,23.45
no,c,Mr.,male,25,0,0,7.05
no,c,Mr.,male,25,0,0,7.25
yes,c,Miss.,female,18,0,0,7.4958
no,c,Master,male,8,4,1,29.125
yes,c,Master,male,1,1,2,20.575
no,a,Mr.,male,46,0,0,79.2
no,c,Mr.,male,,0,0,7.75
no,b,Mr.,male,16,0,0,26
no,c,Miss.,female,,8,2,69.55
no,a,Mr.,male,,0,0,30.6958
no,c,Mr.,male,25,0,0,7.8958
no,b,Mr.,male,39,0,0,13
yes,a,noble,female,49,0,0,25.9292
yes,c,Mrs.,female,31,0,0,8.6833
no,c,Mr.,male,30,0,0,7.2292
no,c,Mrs.,female,30,1,1,24.15
no,b,Mr.,male,34,0,0,13
yes,b,Mrs.,female,31,1,1,26.25
yes,a,Master,male,11,1,2,120
yes,c,Master,male,0.42,0,1,8.5167
yes,c,Mr.,male,27,0,0,6.975
no,c,Mr.,male,31,0,0,7.775
no,a,Mr.,male,39,0,0,0
no,c,Miss.,female,18,0,0,7.775
no,b,Mr.,male,39,0,0,13
yes,a,Mrs.,female,33,1,0,53.1
no,c,Mr.,male,26,0,0,7.8875
no,c,Mr.,male,39,0,0,24.15
no,b,Mr.,male,35,0,0,10.5
no,c,Miss.,female,6,4,2,31.275
no,c,Mr.,male,30.5,0,0,8.05
no,a,Mr.,male,,0,0,0
no,c,Miss.,female,23,0,0,7.925
no,b,Mr.,male,31,1,1,37.0042
no,c,Mr.,male,43,0,0,6.45
no,c,Master,male,10,3,2,27.9
yes,a,Mrs.,female,52,1,1,93.5
yes,c,Mr.,male,27,0,0,8.6625
no,a,noble,male,38,0,0,0
yes,c,Mrs.,female,27,0,1,12.475
no,c,Master,male,2,4,1,39.6875
no,c,Mr.,male,,0,0,6.95
no,c,Mr.,male,,0,0,56.4958
yes,b,Master,male,1,0,2,37.0042
yes,c,Mr.,male,,0,0,7.75
yes,a,Mrs.,female,62,0,0,80
yes,c,Mrs.,female,15,1,0,14.4542
yes,b,Master,male,0.83,1,1,18.75
no,c,Mr.,male,,0,0,7.2292
no,c,Mr.,male,23,0,0,7.8542
no,c,Mr.,male,18,0,0,8.3
yes,a,Miss.,female,39,1,1,83.1583
no,c,Mr.,male,21,0,0,8.6625
no,c,Mr.,male,,0,0,8.05
yes,c,Mr.,male,32,0,0,56.4958
yes,a,Mr.,male,,0,0,29.7
no,c,Mr.,male,20,0,0,7.925
no,b,Mr.,male,16,0,0,10.5
yes,a,Miss.,female,30,0,0,31
no,c,Mr.,male,34.5,0,0,6.4375
no,c,Mr.,male,17,0,0,8.6625
no,c,Mr.,male,42,0,0,7.55
no,c,Mr.,male,,8,2,69.55
no,c,Mr.,male,35,0,0,7.8958
no,b,noble,male,28,0,1,33
yes,a,Mrs.,female,,1,0,89.1042
no,c,Master,male,4,4,2,31.275
no,c,Mr.,male,74,0,0,7.775
no,c,Miss.,female,9,1,1,15.2458
yes,a,Miss.,female,16,0,1,39.4
no,b,Mrs.,female,44,1,0,26
yes,c,Mrs.,female,18,0,1,9.35
yes,a,Mrs.,female,45,1,1,164.8667
yes,a,Mr.,male,51,0,0,26.55
yes,c,Mrs.,female,24,0,3,19.2583
no,c,Mr.,male,,0,0,7.2292
no,c,Mr.,male,41,2,0,14.1083
no,b,Mr.,male,21,1,0,11.5
yes,a,Mrs.,female,48,0,0,25.9292
no,c,Miss.,female,,8,2,69.55
no,b,Mr.,male,24,0,0,13
yes,b,Mrs.,female,42,0,0,13
yes,b,Miss.,female,27,1,0,13.8583
no,a,Mr.,male,31,0,0,50.4958
no,c,Mr.,male,,0,0,9.5
yes,c,Master,male,4,1,1,11.1333
no,c,Mr.,male,26,0,0,7.8958
yes,a,Mrs.,female,47,1,1,52.5542
no,a,Mr.,male,33,0,0,5
no,c,Mr.,male,47,0,0,9
yes,b,Mrs.,female,28,1,0,24
yes,c,Miss.,female,15,0,0,7.225
no,c,Mr.,male,20,0,0,9.8458
no,c,Mr.,male,19,0,0,7.8958
no,c,Mr.,male,,0,0,7.8958
yes,a,Mrs.,female,56,0,1,83.1583
yes,b,Mrs.,female,25,0,1,26
no,c,Mr.,male,33,0,0,7.8958
no,c,Miss.,female,22,0,0,10.5167
no,b,Mr.,male,28,0,0,10.5
no,c,Mr.,male,25,0,0,7.05
no,c,Mrs.,female,39,0,5,29.125
no,b,noble,male,27,0,0,13
yes,a,Miss.,female,19,0,0,30
no,c,Miss.,female,,1,2,23.45
yes,a,Mr.,male,26,0,0,30
no,c,Mr.,male,32,0,0,7.75
